,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
21,(주)노타,[ITS] Machine Learning Engineer Intern,"서울 강남구,신입인턴직,대학교(4년)↑","백엔드/서버개발,프론트엔드,딥러닝,머신러닝,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47982622
22,(주)하이퍼놀로지,[하이퍼놀로지] 하이퍼Q 융합기술연구소 채용 모집,"경기 수원시 장안구 외,신입경력정규직,대학교(4년)↑","딥러닝,머신러닝,S/W,AI(인공지능),C#",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47929729
23,케빈랩(주),수치를 기반으로 한 딥러닝 알고리즘 개발 인재를 모십니다,"경기 안양시 만안구,경력 5년↑정규직,대학교(4년)↑","딥러닝,머신러닝,알고리즘,IoT,C++",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47962227
24,(주)씨엘모빌리티,[강남] AI 연구소 개발 연구원 채용,"서울 강남구 외,2 ~ 7년정규직,학력무관","딥러닝,머신러닝,연구원,솔루션,IoT",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47986843
25,(주)유라코퍼레이션,"[유라코퍼레이션, (주)유라] 2024년 4월 수시채용","경기 성남시 분당구,신입경력정규직,대학교(4년)↑","네트워크,정보통신,H/W,S/W,기술영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47957739
26,(주)페르소나에이아이,[딥러닝] 생성형 AI 모델 연구 및 응용 개발자,"서울 강남구,경력 3년↑정규직,학력무관","백엔드/서버개발,딥러닝,머신러닝,챗봇,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47983484
27,디앤아이 컨설팅㈜,빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직 채용,"서울 동대문구,경력무관정규직,대학교(4년)↑","데이터분석가,머신러닝,빅데이터,AI(인공지능),딥러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47983376
28,(주)플래티어,[그루비 SaaS 솔루션] 데이터사이언스 팀 리더,"서울전체 외,5 ~ 15년정규직,학력무관","데이터분석가,데이터엔지니어,백엔드/서버개발,웹개발,DBA",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47778715
29,(주)데이블,Machine Learning Engineer (전문연구요원 현역 / 보충역),"서울 강남구,신입정규직,대학교(4년)↑","데이터엔지니어,딥러닝,머신러닝,모델링,AWS",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47981665
30,아이티컨버젼스(주),[신입/경력] 스마트팜 AI연구원 채용,"서울 송파구,신입경력정규직,대학교(4년)↑","딥러닝,머신러닝,빅데이터,알고리즘,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47980334
31,(주)쓰리아이,3D VR R&D 소프트웨어 엔지니어 경력 채용,"서울 강남구,경력 5년↑정규직,대학교(4년)↑","데이터마이닝,데이터시각화,딥러닝,머신러닝,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47978199
32,(주)클라리파이,[클라리파이]기업부설연구소 시스템팀 개발자 채용,"서울 종로구,경력무관정규직 외,대학교(4년)↑","SI개발,딥러닝,머신러닝,빅데이터,솔루션",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47975342
33,아이비테크(주),머신 러닝(ML) 개발자 경력 채용,"경기 남양주시,경력 3년↑정규직,대학교(4년)↑","머신러닝,딥러닝,모델링,알고리즘,C++",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47971249
34,(주)연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝) 가능한 팀원을 충원합니다","서울전체 외,경력 1년↑정규직,학력무관","데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47969280
35,(주)데이터트리,[시니어경력] 파트타임 사업관리,"서울 금천구,신입경력정규직 외,대학교(4년)↑","딥러닝,머신러닝,빅데이터,알고리즘,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47968312
