,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
10,한국산업기술시험원,2024년 2분기 1차수 한국산업기술시험원 위촉 계약직 공개모집,"신입·경력,학력무관,서울 구로구 외,계약직","공공기관, 공기업, 문서관리, 문서작성, 전산입력, 자료조사, 행정, 송무담당, 문서관리, 비품관리, 서무, 행정, 결산, 입출금관리, 재무기획, 재무회계, 재무분석, 관리회계, 재무회계, 회계감사, 기업회계, 언론홍보, 옥외광고, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 인공지능, 외자구매, 자재구매, 구매계약, 바이어개발, 수출입계약, 해외마케팅, 매출관리, 영업기획, 데이터분석, 영업전략, 고객지원, 접수·예약, 보안, 생산기술, 제어·설계, 무인항공기·드론, 기계조작, 위성통신, 에너지, 자동차, 전기·전자, 정보통신·IT, 환경, 연구·실험·기술, 검증, 품질보증, 전기배선, 전기설비, 시공관리, 건설노무, 안전평가, 건설안전, 산업안전, 안전평가, 대기환경, 환경측정, 제약·바이오R&D, 의약외품연구",https://www.jobkorea.co.kr/Recruit/Co_Read/C/16361251
11,㈜DYB최선어학원,[직영] 24년 신학기 각 부문 STAFF 모집,"신입·경력,대졸↑,서울 강남구 외,정규직 외,3,000만원 이상","학원운영, 일반학원, SNS마케팅, 키워드광고, 프로모션, 방송기획, 교육상담, 브랜딩, 입시학원, 프로모션, 광고기획, 교육기획, 앱기획, 입시전문가, 바이럴마케팅, 영상제작, 조직문화, 콘텐츠기획, 면접·채용, 콘텐츠기획, 교육기획, 브랜드기획, 전략기획, 인사기획, 서비스기획, 콘텐츠기획, 학생관리, 고객관리, 인코딩, 교육콘텐츠개발, 인사교육, 영어, 데이터분석, 교재개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/17694266
12,브이아이,"머신비전 S/W개발 모집 공고 (신입, 경력)","신입·경력,초대졸↑,충남 아산시,정규직","딥러닝, 이미지프로세싱, 클라이언트, 컴퓨터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/40885668
13,에스씨301의원,[SC301의원 삼성동/코엑스] 성형외과 AI엔지니어/개발자(경력자)를 모십니다.,"경력,초대졸↑,서울 강남구,정규직,5,000~7,000만원","바이오, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 챗봇, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템운영, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",https://www.jobkorea.co.kr/Recruit/Co_Read/C/12987166
14,㈜티맥스소프트,[TmaxSoft/연구소] AI 연구원,"경력1년↑,대졸↑,경기 성남시,정규직","BigData, 솔루션, SI, 인공지능, ERP, 모델링, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/309871
15,안전성평가연구소,제2024-1차 정규직 채용 공고,"신입·경력,초대졸↑,대전 유성구,정규직","임상병리사, 품질보증, 바이오, 검증, 딥러닝, 환경, 데이터분석, 인공지능, 화학·섬유, 공공기관, 환경측정, 미생물, 의약외품연구, 대기환경, 모델링, 수질환경, 연구기획, 제약·바이오R&D, 연구·실험·기술, 공무원, 약사, 환경관리, 미생물, 토양환경",https://www.jobkorea.co.kr/Recruit/Co_Read/C/93062
16,(재)경기도일자리재단,경기청년 일자리 매치업 1차 통합채용공고,"경력무관,학력무관,경기 부천시 외,정규직 외","메카트로닉스, 생산기술, 제품개발, 빅데이터, 기업홍보, 라이센싱, 재무회계, 제어·설계, 데이터레이크, UI·UX기획, 식품MD, 품질보증, 영상제작, SI개발, 생산관리, 영업기획, 유지보수, 재단법인, 품질보증, 검증, 데이터시각화, 의료기기연구, 자금관리, 브랜딩, 시스템분석, 전기·전자, 기계조작, 서버관리, 영업전략, 인공지능, AMD, 기술영업, HACCP, 사이트관리, 방화벽, 자동제어, 로봇설계, 모바일디자인, 자동화라인, 매출관리, 문서작성, 재무기획, HACCP, SI개발, 매출관리, 보안관제, 상품기획, 재고관리, 전기설비, 데이터분석, 제어·설계, 시장분석, 입출금관리, 데이터분석, 분석모델링, 자동화라인, 네트워크관리, 전기배선, 정보보안, GUI, 배관·케이블, 로봇설계, 클라이언트, 문서관리, 상품입출고, 설치, 시스템설계, 언론홍보, 연구·실험·기술, 품질테스트, 네트워크영업, PLC, 콘텐츠기획, 생산기술, 전산입력, 기계조작, 로봇설계, SEO, 데이터파이프라인, 금속, 기술지원, 기술지원, 반도체영업, 통신설비, 이벤트기획",https://www.jobkorea.co.kr/Recruit/Co_Read/C/40125399
17,㈜유비온,"㈜유비온 PM, SW엔지니어, 기획/QA 부문 신입 및 경력 채용","신입·경력3년↑,학력무관,서울 구로구 외,정규직","솔루션, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, PM, PL, PO, GUI, 반응형웹, 인터페이스, 시스템분석, 시스템설계, 정보보안, SI개발, GUI, 반응형웹, 검증, 웹마스터, 테스터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/38091
18,㈜씨어스테크놀로지,의료기기 알고리즘 개발자,"경력,대졸↑,경기 성남시,정규직","딥러닝, 의료기기",https://www.jobkorea.co.kr/Recruit/Co_Read/C/12361965
19,중고나라,[중고나라] 데이터 엔지니어 (1 - 3년),"경력1년↑,대졸↑,서울 서초구 외,정규직","빅데이터, 데이터레이크, B2C, 데이터시각화, 인공지능, 전자상거래, 쇼핑몰, 데이터분석, 모델링, 오픈마켓, 데이터파이프라인",https://www.jobkorea.co.kr/Recruit/Co_Read/C/15094111
