,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
707,(주)한국아이티전문학원,"한국아이티전문학원/웹 프로그래밍, 빅데이터 직업훈련교사 모집",",경력4년↑,초대졸↑,정규직","딥러닝,풀스택,AI(인공지능),Spring,Android",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47832758&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
708,뉴로핏 주식회사(강원지점),[의료AI기업] 영상 기반 AI 연구원 (강원 춘천),",경력2년↑,석사↑,정규직","딥러닝,모델링,컴퓨터비전,영상처리,의료기기연구",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47951299&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
709,(주)아이로,로봇물고기 펌웨어 엔지니어 모집,",경력 3~20년,대졸↑,정규직","딥러닝,로봇설계,Python,H/W,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47922601&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
710,(주)알지에이아이엔씨,SLAM & Navigation Engineer,",경력무관,대졸↑,정규직","딥러닝,AI(인공지능),신경망,알고리즘,Git",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47756530&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
711,(주)핀인사이트,"(아르바이트/출근/3개월) IT, 데이터분석 실습보조 모집",",경력무관,대졸↑,파트·아르바이트,20,000 원","딥러닝,크롤링,대학교,빅데이터,보조강사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47697174&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
712,미디어텍코리아(주),System Software Engineer,",경력 2~10년,대졸↑,정규직","딥러닝,R,S/W,Linux,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47900455&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
713,(주)플래티어,이커머스 플랫폼 개발 (경력직),",경력 2~13년,초대졸↑,정규직","딥러닝,Spring,SpringBoot,SQL,HTML5",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47703520&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
714,충북대학교병원,충북대학교병원 국책과제 연구원 채용공고(AI),",경력무관,학력무관,계약직","딥러닝,모델링,Keras,R,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47959403&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
715,대주씨앤에스(주),연구개발 신입/경력직 채용,",경력무관,대졸↑,정규직","딥러닝,유지보수,S/W,영상처리,클라우드",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47834899&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
716,(주)포커스블루,[포커스블루] Machine Vision 기술 엔지니어 신입/경력,",경력무관,고졸↑,정규직","딥러닝,SI개발,영상처리,이미지프로세싱,C#",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47715441&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
